volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
404.88,399.8,398.32,22.3,24.67,23.63,13.79,0.881,63.2
395.67,395.68,400.06,22.14,23.96,23.72,15.16,0.928,63.25
400.18,398.77,398.91,21.82,22.55,23.02,12.65,0.928,64.25
405.13,397.57,396.92,23.2,21.87,23.18,13.67,0.931,62.93
406.62,397.16,401.32,24.96,23.69,23.17,13.09,0.897,63.71
395.04,400.29,397.27,23.78,23.92,22.14,13.5,0.911,60.84
397.7,396.69,398.6,21.15,22.88,23.33,15.17,0.912,65.32
399.38,403.28,402.78,19.94,23.33,24.53,13.89,0.91,63.11
402.85,397.79,397.6,23.93,24.8,22.05,14.75,0.894,62.88
399.41,396.52,403.14,23.52,21.36,22.84,15.11,0.894,63.45
400.85,398.33,396.65,23.08,23.97,22.94,13.12,0.9,64.96
400.09,394.39,402.62,20.21,22.57,22.7,13.94,0.883,60.75
407.19,401.23,400.23,21.89,21.15,22.93,13.13,0.897,63.79
398.42,398.24,398.65,23.34,24.75,22.66,14.04,0.889,62.63
398.94,401.7,399.24,25.46,21.89,24,14.58,0.892,62.66
398.82,398.51,397.9,24.36,22.4,24.19,13.04,0.896,64.26
399.21,400.09,401.95,23.6,23.73,23.54,13.57,0.908,63.09
398.25,401.24,399.59,21.95,23.34,23.87,13.91,0.894,60.63
400.33,400.62,400.28,24.82,24.08,24.2,13.89,0.92,60.89
394.21,403.57,403.63,24.56,22.75,24.19,14.5,0.89,62.55
394.77,401.1,401.36,22.31,24.43,22.7,13.75,0.894,61.98
401.15,404.73,398.48,25.44,23.74,22.82,14.2,0.874,62.96
394.55,397.36,398.91,22.41,21.86,22.17,14.1,0.903,64.82
398.21,396.03,398.97,22.79,24.34,23.62,13.48,0.896,64.4
396.49,399.41,396.1,24.59,21.88,23.54,14.87,0.887,61.67
399.52,399.08,397.2,20.97,21.37,22.2,13.44,0.888,63.16
400.09,400.16,398.93,23.6,24.61,22.88,13.34,0.885,63.24
400.45,402.73,399.55,21.76,22.95,23.25,15.01,0.918,61.88
398.43,401.97,400.29,22.65,22.74,22.82,12.42,0.883,64.93
404.17,403.29,392.79,20.3,20.81,23.49,14.45,0.9,62.59
394.32,402.82,399.76,22.47,22.33,23.71,13.55,0.891,62.72
399.2,398.77,395.51,22.31,23.88,23.47,13.34,0.925,63.78
