epoch,step,train/d_loss,train/g_loss,train/recon_loss,val/recon_loss
0,21,,,,1.0006848573684692
1,43,,,,0.9006555080413818
2,49,0.6688786149024963,0.8487170338630676,0.848048746585846,
2,65,,,,0.8170787692070007
3,87,,,,0.749960720539093
4,99,0.6477093696594238,0.6997138857841492,0.6990593671798706,
4,109,,,,0.6941618919372559
5,131,,,,0.6459957361221313
6,149,0.6231685876846313,0.5996033549308777,0.5989610552787781,
6,153,,,,0.6043003797531128
7,175,,,,0.5669978857040405
8,197,,,,0.5330493450164795
9,199,0.5934767723083496,0.5124099850654602,0.5117648243904114,
9,219,,,,0.50263911485672
10,241,,,,0.47433170676231384
11,249,0.5583407878875732,0.4497159719467163,0.4490295946598053,
11,263,,,,0.4486270248889923
12,285,,,,0.42496711015701294
13,299,0.5033181309700012,0.4005410075187683,0.3997665047645569,
13,307,,,,0.4039299190044403
14,329,,,,0.3845745921134949
15,349,0.4471997618675232,0.3538352847099304,0.35294675827026367,
15,351,,,,0.3670458495616913
16,373,,,,0.3512892425060272
17,395,,,,0.3363722860813141
18,399,0.3888329565525055,0.3167758584022522,0.31575772166252136,
18,417,,,,0.32281431555747986
19,439,,,,0.3109535872936249
20,449,0.34093308448791504,0.29044464230537415,0.28926989436149597,
20,461,,,,0.3001297116279602
21,483,,,,0.29060906171798706
22,499,0.2921178936958313,0.2707092761993408,0.26938700675964355,
22,505,,,,0.2812541127204895
23,527,,,,0.2734915018081665
24,549,0.26644694805145264,0.24961891770362854,0.24816784262657166,
24,549,,,,0.26623842120170593
25,571,,,,0.26001226902008057
26,593,,,,0.2534880042076111
27,599,0.23529192805290222,0.24010689556598663,0.238615483045578,
27,615,,,,0.2479061335325241
28,637,,,,0.2427898347377777
29,649,0.22848525643348694,0.22854933142662048,0.22695712745189667,
29,659,,,,0.2380838841199875
30,681,,,,0.23319129645824432
31,699,0.23087993264198303,0.21280238032341003,0.21112048625946045,
31,703,,,,0.22866907715797424
32,725,,,,0.22429664433002472
33,747,,,,0.22024010121822357
34,749,0.2306952178478241,0.20137284696102142,0.19962196052074432,
34,769,,,,0.21641747653484344
35,791,,,,0.2124342918395996
36,799,0.2463875263929367,0.19323916733264923,0.1914607733488083,
36,813,,,,0.20868952572345734
37,835,,,,0.20487156510353088
38,849,0.24252763390541077,0.18419472873210907,0.18251407146453857,
38,857,,,,0.20133644342422485
39,879,,,,0.1978769153356552
