volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.10615123,0.1148059,0.1215208,0.09671829,0.12455952,0.11352822,0.09574098,0.0894336,0.13754143
0.11396949,0.12379502,0.12525296,0.082993835,0.12837873,0.1077592,0.108276464,0.11849096,0.09108334
0.11694232,0.13892363,0.120436296,0.07957411,0.12791787,0.11185365,0.09259245,0.116129376,0.09563032
0.11922178,0.1479595,0.115264505,0.08471412,0.12401251,0.108483694,0.10056982,0.10060266,0.09917143
0.10928897,0.14449118,0.12057402,0.07844248,0.118498035,0.11984462,0.101393975,0.102146044,0.10532068
0.1034815,0.16004322,0.115942016,0.06681795,0.13060434,0.12743944,0.09544735,0.09763256,0.10259157
0.11422091,0.13244252,0.12700307,0.06995491,0.1395534,0.12616195,0.09539248,0.09590682,0.09936391
0.11783679,0.13321517,0.120944,0.074975476,0.13348925,0.12444923,0.09066356,0.10542548,0.099001005
0.1176005,0.15070593,0.1163335,0.083312,0.13075551,0.11735018,0.080323845,0.10699202,0.09662659
0.10705792,0.13600607,0.11458249,0.075346656,0.12598072,0.109560214,0.10943356,0.10517243,0.11685987
0.09139139,0.1342914,0.105570085,0.10283306,0.13016738,0.11185438,0.09329824,0.112717405,0.117876664
0.105512634,0.13887037,0.11353175,0.08607419,0.1273251,0.11135831,0.09793899,0.101376735,0.11801195
0.0999401,0.117074884,0.1146211,0.09977562,0.1357127,0.11126427,0.09562136,0.11097019,0.1150198
0.103079304,0.11536468,0.11545845,0.10321632,0.1401831,0.109385684,0.0942662,0.10856622,0.110480055
0.095539235,0.124047615,0.123297326,0.1019681,0.13161275,0.11487998,0.09368617,0.10099685,0.113972016
0.10254591,0.11006682,0.12576196,0.10449852,0.11544453,0.10828718,0.09694778,0.10486986,0.13157742
0.09487796,0.11265607,0.13715518,0.10641153,0.10712827,0.105498776,0.09947996,0.11011991,0.12667225
0.10264097,0.11528738,0.11375015,0.109833814,0.1111941,0.1154433,0.10092447,0.10378559,0.12714025
0.10402596,0.12776907,0.11675088,0.11156242,0.10393066,0.1295981,0.099388406,0.08875963,0.11821492
0.10679795,0.13266146,0.106451996,0.11627584,0.12832032,0.113466375,0.10033161,0.08621189,0.109482564
0.11188541,0.12772697,0.11082948,0.11227071,0.14106381,0.104249,0.09653506,0.08608447,0.10935508
0.10948623,0.12777133,0.11408281,0.112485744,0.14313313,0.104379185,0.10237784,0.0774689,0.10881483
0.11872514,0.12139496,0.12027427,0.1064375,0.13626625,0.10317736,0.11494261,0.07285681,0.10592513
0.12978804,0.113717236,0.12461344,0.105177455,0.1473633,0.10029751,0.10526479,0.06895394,0.10482437
0.12279881,0.11329301,0.10556795,0.108808756,0.14065689,0.0994087,0.13130604,0.08138707,0.09677282
0.114121765,0.10245996,0.1140665,0.11705915,0.13735938,0.11811902,0.11065574,0.08572973,0.10042874
0.12024938,0.105247684,0.121098086,0.1175892,0.13734165,0.08833321,0.113247454,0.0907905,0.106102884
0.111502804,0.10865605,0.1195082,0.109291255,0.12592813,0.09109279,0.13139817,0.0907438,0.111878864
0.118124835,0.10721697,0.116791174,0.1121087,0.114003904,0.09623479,0.13807015,0.09985222,0.09759721
