volt_V1,volt_V2,volt_V3,current_A1,current_A2,current_A3,power_kW,power_factor,motor_temp_C
0.18282318,0.19772904,0.20929404,0.16657692,0.21452759,0.19552849,0.16489372,0.15403058,0.2368862
0.18991478,0.20628768,0.20871715,0.13829802,0.21392582,0.17956616,0.18042812,0.19744919,0.15177809
0.19464774,0.23123512,0.20046338,0.13244924,0.2129163,0.18617778,0.15411796,0.19329461,0.15917441
0.19934656,0.2473979,0.19272974,0.14164752,0.20735697,0.18139179,0.16815928,0.16821419,0.16582108
0.17602253,0.23271976,0.19419841,0.12634069,0.1908548,0.19302364,0.16330673,0.16451803,0.16963114
0.18409981,0.28472653,0.20626782,0.11887314,0.23235299,0.22672242,0.16980657,0.1736942,0.18251656
0.20465122,0.23729914,0.22755322,0.12533921,0.25003982,0.22604614,0.17091607,0.1718376,0.17803173
0.21329494,0.24113116,0.21891926,0.13571219,0.24162728,0.22526403,0.164109,0.19082937,0.17920052
0.21817662,0.279595,0.21582603,0.15456337,0.24258226,0.21771222,0.14901964,0.19849539,0.17926507
0.19415788,0.2466576,0.20780426,0.13664703,0.22847584,0.19869599,0.19846629,0.1907384,0.21193448
0.1761258,0.25880095,0.2034504,0.19817571,0.2508533,0.21556124,0.1798006,0.21722442,0.22716714
0.19657078,0.2587165,0.21151046,0.16035682,0.23720756,0.20746131,0.18246104,0.18886557,0.2198571
0.19179867,0.22468266,0.21997352,0.191483,0.26045117,0.2135313,0.18351042,0.21296692,0.22073866
0.19804314,0.22164665,0.22182682,0.19830638,0.26932955,0.21015939,0.18111078,0.20858498,0.21226197
0.1868711,0.2426324,0.24116486,0.19944571,0.2574295,0.22470085,0.18324657,0.19754599,0.22292492
0.19998845,0.214656,0.24526516,0.2037965,0.22514378,0.21118526,0.18907079,0.20452069,0.25660667
0.18113935,0.21508102,0.2618543,0.20315905,0.20452744,0.20141643,0.18992542,0.21023902,0.24184048
0.19631149,0.22049905,0.21755895,0.21006855,0.21267024,0.22079727,0.19302851,0.1985007,0.2431689
0.19256333,0.23651439,0.21611853,0.20651414,0.19238691,0.23990011,0.1839787,0.16430369,0.21882862
0.18830042,0.23390158,0.18769045,0.20501132,0.22624752,0.20005783,0.17689931,0.15200418,0.19303378
0.18829767,0.21495824,0.18652059,0.18894611,0.23740348,0.17544597,0.16246378,0.14487596,0.18403925
0.19633444,0.22912392,0.2045772,0.20171328,0.25667122,0.18717632,0.18358743,0.13891988,0.19513047
0.21351622,0.21831764,0.21630219,0.19141802,0.24506229,0.18555497,0.20671369,0.13102627,0.19049658
0.24099359,0.21115294,0.23138528,0.19529606,0.2736278,0.18623486,0.19545823,0.12803535,0.19464046
0.24294642,0.22414005,0.2088567,0.21526836,0.27827704,0.19667119,0.25977722,0.16101702,0.19145633
0.23761164,0.21333073,0.23749657,0.24372754,0.2859944,0.24593426,0.23039506,0.17849691,0.20910154
0.25087175,0.21957427,0.25264236,0.2453219,0.2865307,0.18428624,0.23626389,0.1894128,0.22135843
0.23544548,0.22943437,0.2523494,0.23077565,0.2659055,0.19234839,0.27745587,0.19161148,0.23623957
0.2514058,0.22819054,0.24856737,0.23860164,0.2426352,0.2048171,0.29385555,0.2125161,0.20771675
0.27216876,0.20534386,0.25119284,0.239319,0.23579523,0.20642744,0.2926314,0.21168922,0.22192071
0.26310554,0.19041629,0.24154146,0.22355694,0.22241835,0.22075713,0.30365723,0.202355,0.20553368
0.21955314,0.17618574,0.24105705,0.22033425,0.19121155,0.1890899,0.26134467,0.2099243,0.19482209
0.21989861,0.19336224,0.25072524,0.18215233,0.2070808,0.20207234,0.2591101,0.20951504,0.24856955
